2019-10-09 15:34:27.875809, T=0.000977, E=0.002725, a=1.671m, b=1.538m, alpha=-80.301degrees, focus[0.112,-1.273], detector1[-0.500,-1.535], detector2[-0.500,-2.595]
2019-10-09 15:35:09.463646, T=0.000977, E=0.000565, a=1.036m, b=0.950m, alpha=-78.664degrees, focus[0.218,-0.604], detector1[-0.500,-0.679], detector2[-0.500,-2.050]
2019-10-09 15:37:40.575839, T=0.000977, E=0.000381, a=0.234m, b=0.182m, alpha=-88.614degrees, focus[0.007,-0.366], detector1[-0.500,-1.033], detector2[-0.500,-2.403]
2019-10-09 15:38:26.091592, T=0.000977, E=0.000492, a=0.766m, b=0.578m, alpha=-89.735degrees, focus[0.021,-0.452], detector1[-0.500,-0.638], detector2[-0.500,-1.451]
2019-10-09 15:40:09.096708, T=0.000977, E=0.001105, a=1.731m, b=1.646m, alpha=-74.690degrees, focus[0.365,-1.289], detector1[-0.500,-1.796], detector2[-0.500,-4.246]
2019-10-09 15:43:12.648419, T=0.000977, E=0.001492, a=0.846m, b=0.781m, alpha=-76.533degrees, focus[0.151,-0.632], detector1[-0.500,-0.940], detector2[-0.500,-2.441]
2019-10-09 15:44:41.325164, T=0.000488, E=0.000462, a=1.320m, b=1.211m, alpha=-79.737degrees, focus[0.188,-1.036], detector1[-0.500,-1.397], detector2[-0.500,-2.898]
2019-10-09 15:45:27.993100, T=0.001, E=0.000, a=1.337m, b=1.250m, alpha=-76.644degrees, focus[0.219,-0.923], detector1[-0.500,-1.191], detector2[-0.500,-2.692]
2019-10-09 15:45:54.764111, T=0.0020, E=0.0000, a=1.616m, b=1.516m, alpha=-77.187degrees, focus[0.248,-1.092], detector1[-0.500,-1.351], detector2[-0.500,-2.851]
2019-10-10 10:24:12.014689, T=0.0010, E=0.0009, a=1.078m, b=1.003m, alpha=-76.239degrees, focus[0.187,-0.765], detector1[-0.500,-1.044], detector2[-0.500,-2.544]
2019-10-10 10:32:41.032074, T=0.0005, E=0.0001, a=0.986m, b=0.889m, alpha=-80.678degrees, focus[0.138,-0.841], detector1[-0.500,-1.252], detector2[-0.500,-2.752]
2019-10-10 10:33:29.898863, T=0.0005, E=0.0002, a=1.539m, b=1.416m, alpha=-80.051degrees, focus[0.208,-1.188], detector1[-0.500,-1.545], detector2[-0.500,-3.044]
2019-10-10 10:33:58.032319, T=0.0020, E=0.0008, a=1.247m, b=1.137m, alpha=-80.262degrees, focus[0.173,-1.010], detector1[-0.500,-1.392], detector2[-0.500,-2.891]
2019-10-10 10:34:34.429087, T=0.0010, E=0.0003, a=1.598m, b=1.531m, alpha=-71.614degrees, focus[0.290,-0.871], detector1[-0.500,-0.979], detector2[-0.500,-2.479]
2019-10-10 10:35:29.331627, T=0.0005, E=0.0005, a=1.474m, b=1.350m, alpha=-80.423degrees, focus[0.197,-1.167], detector1[-0.500,-1.541], detector2[-0.500,-3.041]
2019-10-10 10:36:37.514023, T=0.0005, E=0.0006, a=0.772m, b=0.692m, alpha=-80.610degrees, focus[0.112,-0.675], detector1[-0.500,-1.097], detector2[-0.500,-2.596]
2019-10-10 10:36:49.452191, T=0.0039, E=0.0007, a=1.000m, b=0.965m, alpha=-63.248degrees, focus[0.238,-0.473], detector1[-0.500,-0.478], detector2[-0.500,-1.979]
2019-10-10 10:37:11.839325, T=0.0005, E=0.0006, a=1.349m, b=1.226m, alpha=-80.962degrees, focus[0.177,-1.111], detector1[-0.500,-1.510], detector2[-0.500,-3.010]
2019-10-10 10:37:47.957320, T=0.0005, E=0.0001, a=1.474m, b=1.419m, alpha=-68.701degrees, focus[0.290,-0.743], detector1[-0.500,-0.796], detector2[-0.500,-2.296]
2019-10-10 10:38:09.414873, T=0.0010, E=0.0009, a=1.593m, b=1.511m, alpha=-74.612degrees, focus[0.268,-0.974], detector1[-0.500,-1.160], detector2[-0.500,-2.659]
2019-10-10 10:39:36.724795, T=0.0005, E=0.0008, a=1.629m, b=1.551m, alpha=-73.763degrees, focus[0.279,-0.957], detector1[-0.500,-1.117], detector2[-0.500,-2.616]
2019-10-10 10:39:51.260383, T=0.0020, E=0.0001, a=1.876m, b=1.784m, alpha=-75.191degrees, focus[0.296,-1.120], detector1[-0.500,-1.295], detector2[-0.500,-2.795]
2019-10-10 10:39:58.004016, T=0.0005, E=0.0010, a=0.791m, b=0.691m, alpha=-83.248degrees, focus[0.091,-0.767], detector1[-0.500,-1.269], detector2[-0.500,-2.770]
2019-10-10 10:44:20.872663, T=0.0010, E=0.0004, a=1.830m, b=1.713m, alpha=-78.418degrees, focus[0.259,-1.263], detector1[-0.500,-1.543], detector2[-0.500,-3.043]
2019-10-10 10:48:39.125226, T=0.0005, E=0.0009, a=1.317m, b=1.182m, alpha=-81.322degrees, focus[0.175,-1.148], detector1[-0.500,-1.404], detector2[-0.500,-2.905]
2019-10-10 11:01:51.766416, T=0.0005, E=0.0006, a=1.074m, b=0.986m, alpha=-77.002degrees, focus[0.191,-0.826], detector1[-0.500,-0.988], detector2[-0.500,-2.488]
2019-10-10 11:02:16.362422, T=0.0010, E=0.0001, a=1.140m, b=1.023m, alpha=-80.689degrees, focus[0.162,-0.991], detector1[-0.500,-1.240], detector2[-0.500,-2.740]
